Anarchism	אנרכיזם
Solar System	קטגוריה:מערכת השמש
Pest control	קטגוריה:הדברה
Hit to lead	ממולקולת מטרה למולקולה מובילה
The Audacity of Hope	תעוזת התקווה
Isayeret	Isayeret.com
CWC mode	CWC mode
Sirte	סירת
Francisco Bru	פרנסיסקו ברו
Jimmy Paterson	ג'ימי פטרסון
David Salomons	דוד סלומונס
Ministry for National Security	המשרד לביטחון לאומי
Poland squad 2002 FIFA World Cup	תבנית:נבחרת פולין במונדיאל 2002
Forensic photography	צילום משפטי
North District	תבנית:מחוז הצפון
Film award winners	קטגוריה:זוכי פרסים לקולנוע
American editors	קטגוריה:עורכים אמריקאים
the Children's Charity Variety	וראייטי
Walter Humala/Peruvian Society	הנתיב הזוהר
Serial drama television series	קטגוריה:סדרות דרמה המשכיות
Ixora	איקסורה מאוי
Yehezkel Kaufmann	יחזקאל קויפמן
Roberto Abbado	רוברטו אבאדו
MPEG-4 Part 14	MP4
Football Superleague of Kosovo	ליגת העל הקוסוברית
Wächter	וכטר
Vimeo	Vimeo
Vasermil Stadium	אצטדיון וסרמיל
Vlčany	ולצ'אני
Samsara/Temporary	אובונטו לינוקס
Computer libraries	קטגוריה:ספריות תוכנה
Lisa Hannigan	ליסה האניגן
Israelite Central Consistory of France	הקונסיסטוריה המרכזית של יהודי צרפת
Hapoel Ironi Kiryat Shmona F.C.	עירוני קריית שמונה
51823 Rickhusband	ריקהאסבנד
Fellows of the American Academy of Arts and Sciences	קטגוריה:חברי האקדמיה האמריקאית לאמנויות ולמדעים
51828 Ilanramon	אילנרמון
Steven Millhauser	סטיבן מילהאוזר
Infected Mushroom albums	קטגוריה:אלבומי אינפקטד מאשרום
Alter	אלתר
Hannibal Monomachus	חניבעל מונומאכוס
Social Democratic Party of Georgia	המפלגה הגאורגית הסוציאל-דמוקרטית
New7Wonders of the World	שבעת פלאי תבל החדשים
Jewish World Review	ג'ואיש וורלד רוויו
Spanish Royal Crown	כתר ממלכת ספרד
Military units and formations	קטגוריה:יחידות צבאיות
Military units and formations by type	קטגוריה:יחידות צבאיות לפי סוג
Habib Elghanian	חביב אלקניאן
Perestroika	פרסטרויקה
Olympic gold medalists for Algeria	קטגוריה:אלופים אולימפיים מאלג'יריה
Middle Ages by country	שבטים ואימפריות בימה"ב קטגוריה:עמים
Rayo Vallecano footballers	קטגוריה:כדורגלני ראיו ואיקאנו
Ricardo Gallego	ריקרדו גאייגו
Dominic Cooper	דומיניק קופר
British West Indies at the 1960 Summer Olympics	איי הודו המערבית במשחקים האולימפיים
Animal rights movement	קטגוריה:ארגוני בעלי חיים
West Virginia Day	יום וירג'יניה המערבית
Aztec mythology and religion	קטגוריה:מיתולוגיה אצטקית
Hermann Wissmann	הרמן פון ויסמן
İznik	איזניק
Austral Islands	תבנית:איי אוסטרל
Blyth's hornbill	קלאו זהוב
Archaeological sites in Jerusalem	קטגוריה:אתרים ארכאולוגיים בירושלים
Titeuf	טיטוף
Siloam	קטגוריה:סילואן
Geography of Jerusalem	קטגוריה:ירושלים: גאוגרפיה
Insulin therapies	קטגוריה:טיפול בסוכרת
Brandeis University faculty	קטגוריה:סגל אוניברסיטת ברנדייס
Positive psychology	קטגוריה:פסיכולוגיה חיובית
Gaal	געל בן עבד
Operational intelligence	בינה תפעולית
Jed Brophy	ג'ד ברופי
New South Wales Barangaroo	ברנגרו
Juvenal	יובנאליס
Piyusti	פיוסתיש
Earls of Wessex	קטגוריה:רוזן וסקס
Crown	כתר
JohnPritchard/Web 2.0	ווב 2.0
Rubén Paz	רובן פס
Liga Națională	ליגת העל הרומנית בכדורסל
Motorcycle racing	מירוץ אופנועים
James Robert Baker	ג'יימס רוברט בייקר
Republic of Baden	רפובליקת באדן
Free People's State of Württemberg	המדינה החופשית וירטמברג
Kingdom of Sussex	קטגוריה:ממלכת סאסקס
Saxe-Gotha-Altenburg	דוכסות סקסוניה-גותה-אלטנבורג
Free City of Frankfurt	העיר החופשית פרנקפורט
SIG SG 550	SIG 550
Grand Duchy of Hesse	הדוכסות הגדולה של הסן
Mark Jackson	מארק ג'קסון
Moshe Sanbar	משה זנבר
Achefer	אצ'פר
Palace of Peace and Reconciliation	ארמון השלום וההתפייסות
Malcov	מלקוב
Dragonlance Legends	אגדות רומח הדרקון
Tristan Wilds	טריסטן וילדס
Varshets	ורשץ
Roller hockey	הוקי גלגיליות
The Lord of the Rings	תמונה:The Lord of the Rings
Colombo	קולומבו
The Titan's Curse	פרסי ג'קסון וקללת הטיטאן
Hellsing	הלסינג
Malian Première Division	ליגת העל של מאלי
Rob James-Collier	רוב ג'יימס-קולייר
Araujia sericifera	ארויה משיינית
Tajik League	ליגת העל הטג'יקית
Moscow Helsinki Group	קבוצת הלסינקי
Psychosocial rehabilitation	קטגוריה:שיקום פסיכיאטרי
People by nationality and occupation	קטגוריה:אישים לפי מוצא ומקצוע
Biosphere reserves of Chile	קטגוריה:צ'ילה: שמורות ביוספריות
Gaash	געש
Simele massacre	טבח סימל
Casa da Índia	בית הודו
Locations in Mesoamerican mythology	קטגוריה:מקומות במיתולוגיה האצטקית
Ilya Smirin	איליה סמירין
Rabbenu Yerucham	ירוחם בן משולם
Video	קטגוריה:וידאו
BurnDownBabylon/User Iceweasel	תבנית:משתמש IceWeasel
Inis Beag	איניס ביג
Xbox 360	Xbox 360
Love	LOVE
Emirates of the United Arab Emirates	קטגוריה:אמירויות איחוד האמירויות הערביות
Syria	סוריה
Golan Heights	רמת הגולן
Kuwait	כווית
Iraq	עיראק
Jordan	ירדן
Turin Palazzo Madama	ארמון מדאמה
National symbols of Italy	קטגוריה:איטליה: סמלים לאומיים
Richard Stengel	ריצ'רד סטנגל
Security Council of Russia	המועצה לביטחון לאומי של רוסיה
Fethullah Gülen	פטהוללה גילן
Historical foods	קטגוריה:מזון בעת העתיקה
Hydroelectric power stations	קטגוריה:תחנות כוח הידרואלקטריות
Nuclear power stations	קטגוריה:תחנות כוח גרעיניות
Alfred Sommer	אלפרד סומר
Vikings	קטגוריה:ויקינגים
Annunciation	הבשורה
Sonic black hole	חור שחור אקוסטי
Directorate of General Security	הביטחון הכללי העיראקי
Naval ram	איל ניגוח ימי
List of heads of government of Andorra	ממשלת אנדורה
Flag of the Community of Madrid	דגל מדריד
Sandro Salvadore	סנדרו סלבדורה
Jordan Premier League	ליגת העל הירדנית
Paolo Pulici	פאולו פוליצ'י
Duwisib Castle	טירת דוויסיב
MartinEm/abc	נבחרת סרביה ומונטנגרו בכדורגל
Blasphemy law in Iran	חוק חילול הקודש באיראן
Dark room	חדר חושך
Toumb	משתמש:יוסף שמח
Melvin Stewart	מלווין סטיוארט
Castle of Rivoli	קסטל דה ריבולי
Valentino	ולנטינו
Swedish awards	קטגוריה:פרסים שוודיים
Facebook	פייסבוק
Basketball positions	קטגוריה:עמדות בכדורסל
Rebecca Hall	רבקה הול
Brent	ברנט
Submarines of Israel	קטגוריה:צוללות ישראליות
Dave Robicheaux	דייב רובישו
Country subdivisions	קטגוריה:חלוקה מנהלית של מדינות
Van Leer	ון ליר
Marx-Engels Forum	פורום מרקס אנגלס
Outline of space exploration	אדם וחלל - מונחים
Igor Polyansky	איגור פוליאנסקי
Mel Martin	מל מרטין
Simhah ben Samuel of Vitry	שמחה בן שמואל מוויטרי
Eleuterio Sánchez	אלאוטריו סאנצ'ס
Matthias Lehmann	מתיאס להמן
Palestinian return to Israel	הסתננות
Muslim conquest of the Levant	הכיבוש הערבי של ארץ ישראל
Zichron Menachem	זכרון מנחם
Neuropterida	רקומי-כנף
The Nutcracker and the Mouse King	מפצח האגוזים ומלך העכברים
Mansfield Park	מנספילד פארק
Bnei Yehuda	בני יהודה
History by continent	קטגוריה:היסטוריה של יבשות
Central Bank of West African States	הבנק המרכזי של מדינות מערב אפריקה
Abraham ben Isaac of Narbonne	הראב"ד השני
Daniel Rothschild	דני רוטשילד
The Yiddish Policemen's Union	איגוד השוטרים היידים
The Oxford Murders	רציחות נוסח אוקספורד
Claudio Marchisio	קלאודיו מרקיזיו
Precycling	הפחתה במקור
Thorsten Fink	טורסטן פינק
C.S. Herediano footballers	קטגוריה:כדורגלני ארדיאנו
Decurion	דקוריון
Kunsthaus Graz	קונסטהאוס גראץ
Campbell's Soup Cans	פחיות המרק של קמפבל
Taxidermia	טקסידרמיה
SG Wattenscheid 09 players	קטגוריה:כדורגלני ווטנשייד 09
Line of hereditary succession	סדר הירושה
Archie Cross	ארצ'י קרוס
Asterix	תבנית:אסטריקס
Greek songwriters	קטגוריה:פזמונאים יוונים
Eucryptite	איקריפטיט
Arab Peace Initiative	יוזמת השלום הערבית
Abraham ben Nathan	אברהם בן נתן
Lipkin	ליפקין
1. FC Union Berlin	אוניון ברלין
Saudi Arabia squad 1998 FIFA World Cup	תבנית:נבחרת ערב הסעודית במונדיאל 1998
Battle of the Kerch Peninsula	קרב קרץ'
South Africa squad 1998 FIFA World Cup	תבנית:נבחרת דרום אפריקה במונדיאל 1998
Tunisia squad 1998 FIFA World Cup	תבנית:נבחרת טוניסיה במונדיאל 1998
Miguel Ángel Moyà	מיגל אנחל מויה
Austria squad 1998 FIFA World Cup	תבנית:נבחרת אוסטריה במונדיאל 1998
Raúl García	ראול גרסיה
Colombia squad 1998 FIFA World Cup	תבנית:נבחרת קולומביה במונדיאל 1998
Antonio Puerta	אנטוניו פוארטה
Santi Cazorla	סנטי קאסורלה
National symbols of Singapore	קטגוריה:סינגפור: סמלים לאומיים
Batsheva Dance Company	בת-שבע
Ozar Hatorah	אוצר התורה
Climate by country	קטגוריה:אקלים לפי מדינה
Clare Jacobs	צ'ארלס ג'ייקובס
Buildings and structures in Ravenna	קטגוריה:רוונה: מבנים
Birkir Bjarnason	בירקיר ביארנסון
Muhammad	מוחמד
Izbica Kujawska	איזביצה קויאווסקה
Ze with diaeresis	Ӟ
European free-tailed bat	אשף מצוי
Ilan Shalgi	אילן שלגי
Berry Sakharof	ברי סחרוף
Alvah Meyer	אלווה מאייר
Abkhazian Dze	Ӡ
MoiraMoira	משתמש:MoiraMoira
Porta Tiburtina	שער טיבורטינה
Force 10 From Navarone	גיבורי נברון
Maghreb–Europe Gas Pipeline	צינור הגז מגרב-אירופה
Goldfeld	גולדפלד
Georges Ba	ג'ורג' בה
Hadera	קטגוריה:חדרה
Elk	אייל קנדי
Netanya Railway Station	תחנת הרכבת נתניה
Outfest	Outfest
Falkland Islands	איי פוקלנד
Marilyn Manson	תבנית:מרילין מנסון
Linda Pastan	לינדה פסטן
Sans-Souci Palace	ארמון סנסוסי
Leonard Herzenberg	ליאונרד הרזנברג
8.8 cm Pak 43	PaK 43
Har Brakha	הר ברכה
Carthalo	קרתאלו
Drom HaSharon Regional Council	מועצה אזורית דרום השרון
Iviron	מנזר איווירון
Yosef Sapir	יוסף ספיר
Petah Tikva	קטגוריה:פתח תקווה
Bertrand Russell	קטגוריה:ברטראנד ראסל
Luiz Adriano	לואיס אדריאנו
Plant anatomy	אנטומיה של הצמח
It's Punky Brewster	מיקי צ'יק צ'אק ועוד
Plant morphology	מורפולוגיה של צמחים
Habesh Eyalet	מלחמת טורקיה-אתיופיה
Red-bellied piranha	פיראנה אדומת בטן
Praemium Imperiale	פרימיום אימפריאל
Troubadours	קטגוריה:טרובדורים
AFC leagues	תבנית:ליגות הכדורגל באסיה
Mickaël Madar	מיקאל מדר
Criticism of Muhammad	הביקורת על מוחמד
Ray Cooney	ריי קוני
Ruggiero Rizzitelli	רוג'רו ריציטלי
Timar	טימאר
Jews and Judaism in Persia and Iran	קטגוריה:יהדות איראן ופרס
Romanian military personnel	קטגוריה:אנשי צבא רומנים
Seal of Madagascar	סמל מדגסקר
Coat of arms of Kenya	סמל קניה
BC UNICS	אוניקס קאזאן
PBC Ural Great Perm	אוראל גרייט
Sociology of religion	קטגוריה:סוציולוגיה של הדת
Battle of Tulagi and Gavutu–Tanambogo	קרב טולאגי וגווטו-טנמבוגו
Coat of arms of Tunisia	סמל תוניסיה
Joseph ben Abraham Gikatilla	יוסף ג'יקטיליה
Once Upon a Time... Life	היה היה - החיים
Chushiel	חושיאל בן אלחנן
Guilt offering	קורבן אשם
Gift offering	קורבן מנחה
Peace offering	קורבן שלמים
The Discoverers	המגלים
Shem Tov ibn Shem Tov	שם טוב אבן שם טוב
Moses Alashkar	משה אלשקר
Yair Nitzani	יאיר ניצני
Martin Luther	מרטין לותר
Coats of arms and emblems of Africa	גלריית סמלי אפריקה
Barbara Gittings	ברברה גיטינגס
Mizrah	כותל המזרח
Combinatorial auction	מכרז קומבינטורי
Century Tower	מגדל המאה
Space tourists	קטגוריה:תיירי חלל
Victor Franke	ויקטור פרנקה
Oliver Milburn	אוליבר מילבורן
Megalaimidae	מגליימיים
Lybiidae	ליביים
GNOME	תבנית:GNOME
Bucerotiformes	קלאונאים
Recipients of the Copley Medal	קטגוריה:זוכי מדליית קופלי
Recipients of the Bruce Medal	קטגוריה:זוכי מדליית ברוס
Orléans Loiret Basket	אורליאן
Eared nightjar	אירוסטופודים
CONMEBOL leagues	תבנית:ליגות הכדורגל בדרום אמריקה
Colombia squad 1994 FIFA World Cup	תבנית:נבחרת קולומביה במונדיאל 1994
Al-Hasakah	אל-חסכה
Colombia squad 1990 FIFA World Cup	תבנית:נבחרת קולומביה במונדיאל 1990
The Life and Adventures of Nicholas Nickleby	ניקולס ניקלבי
Wired All Wrong	Wired All Wrong
Avi Ostrowsky	אבי אוסטרובסקי
Spain squad 1994 FIFA World Cup	תבנית:נבחרת ספרד במונדיאל 1994
A Woman Called Golda	אישה ושמה גולדה
Harukichi Hyakutake	הארוקיצ'י היאקוטאקה
James Clark Ross	ג'יימס קלארק רוס
Saudi Arabia squad 1994 FIFA World Cup	תבנית:נבחרת ערב הסעודית במונדיאל 1994
Hans Christian Ørsted	הנס כריסטיאן ארסטד
Morocco squad 1994 FIFA World Cup	תבנית:נבחרת מרוקו במונדיאל 1994
